ID,TYPE,LOG
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.2343060Z WARNING | encryption is off
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.2475430Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,ERROR,"2023-10-04T19:34:08.5072430Z ERROR   | Unable to connect to adb daemon on port: 5037
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.7206220Z WARNING | cannot add library /Users/runner/Library/Android/sdk/emulator/qemu/darwin-x86_64/lib64/vulkan/libvulkan.dylib: failed
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.8337180Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.8372070Z WARNING | *** No gRPC protection active, consider launching with the -grpc-use-jwt flag.***
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:08.8649580Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:09.4516210Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:19.4629860Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:15.4152750Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:15.4159200Z WARNING | Discarding the changed state (command-line flag).
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:32.5938190Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,ERROR,"2023-10-04T19:34:33.1734350Z ERROR   | Unable to connect to adb daemon on port: 5037
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.2007860Z WARNING | cannot add library /Users/runner/Library/Android/sdk/emulator/qemu/darwin-x86_64/lib64/vulkan/libvulkan.dylib: failed
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.4595920Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.4629940Z WARNING | *** No gRPC protection active, consider launching with the -grpc-use-jwt flag.***
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.5322020Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.6510730Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:58.8246780Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:47.3272380Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:38:00.4374130Z WARNING | Discarding the changed state (command-line flag).
"
logs_autonomousapps-dependency-analysis-gradle-plugin-6450879708-a20e743e53b9dd2fe5dd525283eb37f92ad78ad3.zip,WARN,"2023-10-09T00:23:09.8133719Z WARNING: Unsupported Kotlin plugin version.
"
logs_autonomousapps-dependency-analysis-gradle-plugin-6450879708-a20e743e53b9dd2fe5dd525283eb37f92ad78ad3.zip,WARN,"2023-10-09T00:23:44.3333050Z WARNING: Unsupported Kotlin plugin version.
"
logs_autonomousapps-dependency-analysis-gradle-plugin-6450879708-a20e743e53b9dd2fe5dd525283eb37f92ad78ad3.zip,WARN,"2023-10-09T00:23:09.8133713Z WARNING: Unsupported Kotlin plugin version.
"
logs_autonomousapps-dependency-analysis-gradle-plugin-6450879708-a20e743e53b9dd2fe5dd525283eb37f92ad78ad3.zip,WARN,"2023-10-09T00:23:44.3333045Z WARNING: Unsupported Kotlin plugin version.
"
logs_google-guava-6317937518-bb9410920e2ea24442b41550c4bbb7e6ddd36b76.zip,WARN,"2023-09-26T20:44:22.3704287Z WARNING: Unable to start Service NoOpService [TERMINATED]
"
logs_google-guava-6317937518-bb9410920e2ea24442b41550c4bbb7e6ddd36b76.zip,WARN,"2023-09-26T20:44:22.3756698Z WARNING: ServiceManager configured with no services.  Is your application configured properly?
"
logs_google-guava-6317937518-bb9410920e2ea24442b41550c4bbb7e6ddd36b76.zip,WARN,"2023-09-26T20:44:22.3775461Z WARNING: Unable to start Service  [STARTING]
"
